"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 23:38:56 UTC 2025","Fri Aug 15 23:38:56 UTC 2025","362","tests","stellar_test","","","","Проверка получения 'success'","Проверка получения статуса ответа ingredients"
"passed","Fri Aug 15 23:38:56 UTC 2025","Fri Aug 15 23:38:57 UTC 2025","445","tests","stellar_test","","","","Проверка успешности регистрации пользователя","Проверка регистрации юзера"
"passed","Fri Aug 15 23:38:55 UTC 2025","Fri Aug 15 23:38:56 UTC 2025","362","tests","stellar_test","","","","Проверка успешности получения ингредиентов","Проверка получения ингредиентов"
"passed","Fri Aug 15 23:38:56 UTC 2025","Fri Aug 15 23:38:56 UTC 2025","455","tests","stellar_test","","","","Проверка успешности регистрации пользователя","Проверка регистрации юзера"
